estado,Marque todas las plataformas,¿Cuál es la naturaleza legal,¿Cuáles son las temáticas,¿Cuáles son las fuentes de ingresos,¿El proyecto u organización periodística que refiere ha enfrentado
Delta Amacuro,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Portal web de noticias, Radio (AM o FM)",Privado,"Arte y cultura local, Deporte local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Delta Amacuro,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Gobierno y política local, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,No se maneja esta información
Distrito Capital,"Cuenta en Instagram, Cuenta en X, Periodismo cara a cara","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Subvenciones o financiamiento internacional","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Donaciones de la audiencia, membresías o suscripciones, Donaciones de empresas, Publicidad, Venta de productos y servicios","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), derechos humanos con énfasis en presos políticos","Campañas de financiamiento colectivo (crowdfunding), Subvenciones o financiamiento internacional, Talleres / Capacitaciones",Decisiones de no cubrir ciertos contenidos por precaución (autocensura)
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Portal web de noticias",Proyecto u organización sin figura jurídica,"Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Subvenciones o financiamiento internacional,"Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias, newsletter ","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Gobierno y política local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Subvenciones o financiamiento internacional",Restricciones o impedimentos externos para cubrir ciertos temas (censura directa)
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, TV (señal abierta o cable)",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Contenidos puntuales patrocinados, Publicidad",Prefiere no responder
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube",Privado,"Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias, TV transmitida vía web",Proyecto u organización sin figura jurídica,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Campañas de financiamiento colectivo (crowdfunding), Contenidos puntuales patrocinados, Publicidad","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Subvenciones o financiamiento internacional, Publicidad",Prefiere no responder
Distrito Capital,"Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast",Privado,"Arte y cultura local, Sucesos, seguridad y convivencia ciudadana, Política, DDHH",Subvenciones o financiamiento internacional,"Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura)"
Distrito Capital,"Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periódico (impreso), Portal web de noticias",Privado,"Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)",Publicidad,Prefiere no responder
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en Facebook, Cuenta en X, Cuenta en Youtube, Portal web de noticias, Acciones off line cómo exposiciones en espacios públicos y tertulias y actividades de diálogos con las comunidades ","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Economía y desarrollo local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Derechos de las niñas, adolescentes y mujeres, derechos humanos, migración, salud mental, organización ciudadana e innovación social ","Aportes monetarios de los fundadores y/o el equipo, Eventos, Subvenciones o financiamiento internacional, Talleres / Capacitaciones, Venta de productos y servicios","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en Facebook, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Portal web de noticias",Peridiosmo Hiperlocal,"Arte y cultura local, Deporte local, Economía y desarrollo local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Publicidad, Talleres / Capacitaciones","Restricciones o impedimentos externos para cubrir ciertos temas (censura directa), Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Podcast, Portal web de noticias","Organización sin fines de lucro (asociación civil, fundación, ONG)","Economía y desarrollo local, Gobierno y política local, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos)","Aportes monetarios de los fundadores y/o el equipo, Subvenciones o financiamiento internacional","Decisiones de no cubrir ciertos contenidos por precaución (autocensura), Presiones indirectas que influyen en la cobertura (por ejemplo, económicas, políticas o de seguridad)"
Distrito Capital,"Canal o grupo de mensajería en Whatsapp, Canal o grupo de mensajería en Telegram, Cuenta en Instagram, Cuenta en TikTok, Cuenta en X, Cuenta en Youtube, Periodismo cara a cara, Podcast, Portal web de noticias, Radio (AM o FM), Radio transmitida vía web","Organización sin fines de lucro (asociación civil, fundación, ONG)","Arte y cultura local, Deporte local, Economía y desarrollo local, Gobierno y política local, Investigación y vigilancia al poder, Medio ambiente y sostenibilidad, Sucesos, seguridad y convivencia ciudadana, Temas sociales locales (como salud, educación, transporte, servicios públicos), Red indígena",No sabe / Prefiere no responder,Prefiere no responder
